cell_id,ndvi_mean
-31.2500_-61.0000,0.5479644783118406
-31.2500_-61.2500,0.5408507620164127
-31.2500_-61.5000,0.4185984759671747
-31.2500_-61.7500,0.49629202813599066
-31.2500_-62.0000,0.4519962485345838
-31.2500_-62.2500,0.45658804220398597
-31.2500_-62.5000,0.45309976553341147
-31.2500_-62.7500,0.4464956623681125
-31.2500_-63.0000,0.46080621336459554
-31.2500_-63.2500,0.46100281359906214
-31.2500_-63.5000,0.4954347010550996
-31.2500_-63.7500,0.4042223915592028
-31.2500_-64.0000,0.40677069167643615
-31.2500_-64.2500,0.4465759671746776
-31.2500_-64.5000,0.5211627198124268
-31.2500_-64.7500,0.3640284876905041
-31.2500_-65.0000,0.543483001172333
-31.2500_-65.2500,0.47657467760844086
-31.2500_-65.5000,0.5183774912075029
-31.2500_-65.7500,0.46027608440797185
-31.2500_-66.0000,0.5016785463071513
-31.2500_-66.2500,0.41168769050410314
-31.2500_-66.5000,0.34143540445486514
-31.2500_-66.7500,0.3496060961313013
-31.2500_-67.0000,0.3397303634232122
-31.2500_-67.2500,0.23942438452520518
-31.2500_-67.5000,0.2784815943728019
-31.2500_-67.7500,0.23913610785463071
-31.2500_-68.0000,0.17526400937866354
-31.5000_-56.0000,0.7058685814771395
-31.5000_-56.2500,0.6903989449003517
-31.5000_-56.5000,0.6296817116060962
-31.5000_-56.7500,0.6360719812426728
-31.5000_-57.0000,0.63187796014068
-31.5000_-57.2500,0.6468097303634233
-31.5000_-57.5000,0.6335953106682298
-31.5000_-57.7500,0.6584658851113717
-31.5000_-58.0000,0.5773372801875732
